symbol,date,actual_change_pct,predicted_change_pct,correct_direction
TCS,2026-02-12 00:00:00+05:30,-2.11,-1.69,1
TCS,2026-02-19 00:00:00+05:30,0.31,0.71,1
TCS,2026-02-26 00:00:00+05:30,-0.39,0.12,0
TCS,2026-03-06 00:00:00+05:30,-1.18,-0.07,1
TCS,2026-03-13 00:00:00+05:30,-0.05,-0.89,1
TCS,2026-03-20 00:00:00+05:30,-0.28,-0.92,1
TCS,2026-03-30 00:00:00+05:30,2.09,-0.15,0
TCS,2026-04-08 00:00:00+05:30,1.16,0.26,1
TCS,2026-04-16 00:00:00+05:30,0.18,0.19,1
TCS,2026-04-23 00:00:00+05:30,-4.95,0.55,0
TCS,2026-04-30 00:00:00+05:30,0.0,0.18,0
TCS,2026-05-08 00:00:00+05:30,-0.06,-0.06,1
TCS,2026-05-15 00:00:00+05:30,0.85,-0.05,0
TCS,2026-05-22 00:00:00+05:30,0.96,0.33,1
TCS,2026-06-01 00:00:00+05:30,6.51,0.29,1
TCS,2026-06-08 00:00:00+05:30,-0.02,0.43,0
TCS,2026-06-15 00:00:00+05:30,1.71,0.12,1
TCS,2026-06-22 00:00:00+05:30,-3.21,0.5,0
TCS,2026-06-30 00:00:00+05:30,-2.41,-0.07,1
TCS,2026-07-07 00:00:00+05:30,-1.84,-0.21,1
TCS,2026-07-14 00:00:00+05:30,0.03,0.18,1
TCS,2026-07-21 00:00:00+05:30,-0.58,-0.18,1
TCS,2026-07-28 00:00:00+05:30,2.03,0.49,1
TCS,2026-08-04 00:00:00+05:30,-1.91,-0.06,1
RELIANCE,2025-06-23 00:00:00+05:30,-0.41,-0.61,1
RELIANCE,2025-06-30 00:00:00+05:30,1.85,-0.74,0
RELIANCE,2025-07-07 00:00:00+05:30,-0.25,-0.62,1
RELIANCE,2025-07-14 00:00:00+05:30,0.11,0.14,1
RELIANCE,2025-07-21 00:00:00+05:30,-1.11,-1.2,1
RELIANCE,2025-07-28 00:00:00+05:30,2.13,-0.33,0
RELIANCE,2025-08-04 00:00:00+05:30,-1.4,0.03,0
RELIANCE,2025-08-11 00:00:00+05:30,-0.42,-0.28,1
RELIANCE,2025-08-19 00:00:00+05:30,-0.5,-0.03,1
